year,model,displ,trans,cyl,manufacturer,cty,hwy,eng.dscr,T,G,S,twodoor.l,fourdoor.p,hatch.p
1984,QUANTUM WAGON,131,manual(m5),5,VOLKSWAGEN,20,29,(FFS),FALSE,FALSE,FALSE,NA,91,NA
1984,5000S WAGON,131,auto(3),5,AUDI,20,29,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,5000S WAGON,131,manual(m5),5,AUDI,20,33,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,CENTURY ESTATE WAGON,151,auto(3),4,BUICK,24,37,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,CENTURY ESTATE WAGON,181,auto(3),6,BUICK,18,28,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,CENTURY ESTATE WAGON,231,auto(4),6,BUICK,20,32,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,CENTURY ESTATE WAGON,263,auto(3),6,BUICK,26,41,(DIESEL),FALSE,FALSE,FALSE,NA,97,NA
1984,CENTURY ESTATE WAGON,263,auto(4),6,BUICK,26,43,(DIESEL),FALSE,FALSE,FALSE,NA,97,NA
1984,CELEBRITY WAGON,151,auto(3),4,CHEVROLET,25,39,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,CELEBRITY WAGON,151,manual(m4),4,CHEVROLET,25,38,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,CELEBRITY WAGON,173,auto(3),6,CHEVROLET,20,29,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,CELEBRITY WAGON,173,auto(4),6,CHEVROLET,20,31,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,CELEBRITY WAGON,263,auto(3),6,CHEVROLET,26,41,(DIESEL),FALSE,FALSE,FALSE,NA,98,NA
1984,CELEBRITY WAGON,263,auto(4),6,CHEVROLET,26,43,(DIESEL),FALSE,FALSE,FALSE,NA,98,NA
1984,TOWN AND COUNTRY WAGON,135,auto(3),4,CHRYSLER,25,33,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,TOWN AND COUNTRY WAGON,156,auto(3),4,CHRYSLER,22,29,NA,FALSE,FALSE,FALSE,NA,95,NA
1984,ARIES WAGON,135,auto(3),4,DODGE,25,33,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,ARIES WAGON,135,manual(m4),4,DODGE,27,38,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,ARIES WAGON,135,manual(m5),4,DODGE,27,43,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,ARIES WAGON,156,auto(3),4,DODGE,22,29,NA,FALSE,FALSE,FALSE,NA,95,NA
1984,LTD WAGON,231,auto(3),6,FORD MOTOR COMPANY,20,28,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,LTD WAGON,231,auto(4),6,FORD MOTOR COMPANY,21,31,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,MARQUIS WAGON,231,auto(3),6,LINCOLN-MERCURY,20,28,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,MARQUIS WAGON,231,auto(4),6,LINCOLN-MERCURY,21,31,(FFS),FALSE,FALSE,FALSE,NA,98,NA
1984,300TD,183,auto(4),5,MERCEDES-BENZ,26,32,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,94,NA
1984,CUTLASS CRUISER WAGON,151,auto(3),4,OLDSMOBILE,25,39,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,CUTLASS CRUISER WAGON,181,auto(3),6,OLDSMOBILE,18,28,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,CUTLASS CRUISER WAGON,231,auto(4),6,OLDSMOBILE,20,32,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,CUTLASS CRUISER WAGON,263,auto(3),6,OLDSMOBILE,26,41,(DIESEL),FALSE,FALSE,FALSE,NA,97,NA
1984,CUTLASS CRUISER WAGON,263,auto(4),6,OLDSMOBILE,26,43,(DIESEL),FALSE,FALSE,FALSE,NA,97,NA
1984,505 STATION WAGON,120,auto(3),4,PEUGEOT,21,25,(FFS),FALSE,FALSE,FALSE,NA,80,NA
1984,505 STATION WAGON,120,manual(m5),4,PEUGEOT,22,31,(FFS),FALSE,FALSE,FALSE,NA,80,NA
1984,505 STATION WAGON,141,auto(3),4,PEUGEOT,27,31,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,80,NA
1984,505 STATION WAGON,141,auto(3),4,PEUGEOT,26,32,"(DSL,TRBO)",TRUE,FALSE,FALSE,NA,80,NA
1984,RELIANT WAGON,135,auto(3),4,PLYMOUTH,25,33,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,RELIANT WAGON,135,manual(m4),4,PLYMOUTH,27,38,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,RELIANT WAGON,135,manual(m5),4,PLYMOUTH,27,43,(FFS),FALSE,FALSE,FALSE,NA,95,NA
1984,RELIANT WAGON,156,auto(3),4,PLYMOUTH,22,29,NA,FALSE,FALSE,FALSE,NA,95,NA
1984,6000 WAGON,151,auto(3),4,PONTIAC,25,39,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,6000 WAGON,173,auto(3),6,PONTIAC,20,29,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,6000 WAGON,173,auto(4),6,PONTIAC,20,31,(FFS),FALSE,FALSE,FALSE,NA,97,NA
1984,6000 WAGON,263,auto(3),6,PONTIAC,26,41,(DIESEL),FALSE,FALSE,FALSE,NA,97,NA
1984,6000 WAGON,263,auto(4),6,PONTIAC,26,43,(DIESEL),FALSE,FALSE,FALSE,NA,97,NA
